69/69logo_small;69LOGO_SMALL
base_floor/step2_32;STEP2_32
base_floor/step3_32_notrim;STEP3_32_NOTRIM
base_floor/techfloor;TECHFLOOR
base_floor/techfloor_teal;TECHFLOOR_TEAL
base_floor/techfloor2;TECHFLOOR2
base_floor/tilefloor2;TILEFLOOR2
base_floor/tilefloor2a;TILEFLOOR2A
base_floor/tilefloor6;TILEFLOOR6
base_floor/tilefloor7;TILEFLOOR7
base_floor/tilefloor7_ow;TILEFLOOR7_OW
base_floor2/tin_floor03astep;TIN_FLOOR03ASTE
base_floor2/tin_floor03step;TIN_FLOOR03STEP
base_floor2/tin_floor03stepx;TIN_FLOOR03ST00
base_light/baslt4_1;BASLT4_1
base_light/border11light;BORDER11LIGHT
base_light/border7_ceil;BORDER7_CEIL50
base_light/border7_ceil50;BORDER7_CEIL50
base_light/ceil1_22a;CEIL1_22A
base_light/ceil1_30;CEIL1_30
base_light/ceil1_34;CEIL1_34
base_light/ceil1_37;CEIL1_37
base_light/ceil1_38;CEIL1_38
base_light/ceil1_39;CEIL1_39
base_light/ceil1_4;CEIL1_4
base_light/ceil1_olive;CEIL1_OLIVE
base_light/ceil1_orange;CEIL1_ORANGE
base_light/cornerlight;CORNERLIGHT
base_light/dm18twr;DM18TWR
base_light/geolight;GEOLIGHT
base_light/geolight2;GEOLIGHT2
base_light/geolight4;GEOLIGHT4
base_light/geolight4_blue;GEOLIGHT4_BLUE
base_light/geolight4_red;GEOLIGHT4_RED
base_light/jaildr03_1;JAILDR03_1
base_light/jaildr03_2;JAILDR03_2
base_light/jaildr1_3;JAILDR1_3
base_light/light1;LIGHT1
base_light/light1blue;LIGHT1BLUE
base_light/light1red;LIGHT1RED
base_light/light2;LIGHT2
base_light/light5;LIGHT5
base_light/light5_green;LIGHT5_GREEN
base_light/lightb;LIGHTB
base_light/lightb2;LIGHTB2
base_light/metal_01_grilled_light_blue;METAL_01_GRILLE
base_light/metal_01_grilled_light_red;METAL_01_GRIL00
base_light/patch10_pj_lite;PATCH10_PJ_LITE
base_light/patch10_pj_lite2;PATCH10_PJ_LI00
base_light/proto_light;PROTO_LIGHT
base_light/proto_light2;PROTO_LIGHT2
base_light/proto_lightblue;PROTO_LIGHTBL00
base_light/proto_lightblue;PROTO_LIGHTBLUE
base_light/proto_lightmap;PROTO_LIGHTMAP
base_light/proto_lightred;PROTO_LIGHTRED
base_light/runway;RUNWAY
base_light/runway_dblue;RUNWAY_DBLUE
base_light/runway_dred;RUNWAY_DRED
base_light/runwayb;RUNWAYB
base_light/runwayb_dblue;RUNWAYB_DBLUE
base_light/runwayb_dred;RUNWAYB_DRED
base_light/rustyblock_light;RUSTYBLOCK_LIGH
base_light/rustytrim_lights;RUSTYTRIM_LIGHT
base_light/s_proto_light;PROTO_LIGHT
base_light/scrolllight;SCROLLLIGHT
base_light/scrolllight2;SCROLLLIGHT2
base_light/striplight_blue;STRIPLIGHT_BLUE
base_light/striplight_caution;STRIPLIGHT_CAUT
base_light/striplight_red;STRIPLIGHT_RED
base_light/striplight_red2;STRIPLIGHT_RED2
base_light/striplight_yellow;STRIPLIGHT_YELL
base_light/trianglelight;TRIANGLELIGHT
base_light/wstlt1_5;WSTLT1_5
base_light/wstlt1_5;WSTLT1_500
base_light/wsupprt1_12;WSUPPRT1_12
base_light/xceil1_39_90k;CEIL1_39
base_light/xlight5;XLIGHT5
base_object/boxq3_1;BOXQ3_1
base_object/boxq3_1b;BOXQ3_1B
base_object/boxq3_2;BOXQ3_2
base_object/boxq3_2b;BOXQ3_2B
base_object/boxQ3_3;BOXQ3_3
base_object/boxQ3_3b;BOXQ3_3B
base_object/boxq3_4;BOXQ3_4
base_object/boxQ3_4b;BOXQ3_4B
base_object/container_02_front;CONTAINER_02_FR
base_object/container_02_side;CONTAINER_02_SI
base_object/container_02_top;CONTAINER_02_TO
base_support/basic1_1;BASIC1_1
base_support/cable;CABLE
base_support/cable_trans;CABLE_TRANS
base_support/flat1_1;FLAT1_1
base_support/grate1_3;GRATE1_3
base_support/grate1_4;GRATE1_4
base_support/grate1_4_small;GRATE1_4_SMALL
base_support/grate2_7_small;GRATE2_7_SMALL
base_support/metal_support;METAL_SUPPORT
base_support/metal_support2;METAL_SUPPORT2
base_support/metal_support3;METAL_SUPPORT3
base_support/metal1_1;METAL1_1
base_support/metal14_1;METAL14_1
base_support/metal3_3;METAL3_3
base_support/pip03_2;PIP03_2
base_support/pip03_3;PIP03_3
base_support/pipecolumn4;PIPECOLUMN4
base_support/pipecolumn4b;PIPECOLUMN4B
base_support/plate2_5;PLATE2_5
base_support/support1_1;SUPPORT1_1
base_support/support1rust;SUPPORT1RUST
base_support/support1shiny;SUPPORT1SHINY
base_support/surface2;SURFACE2
base_support/vert_pipe1;VERT_PIPE1
base_support/wplat1_1;WPLAT1_1
base_support/x_support;X_SUPPORT
base_support/x_support2;X_SUPPORT2
base_support/x_support3;X_SUPPORT3
base_support/x_support4;X_SUPPORT4
base_support/z_support;Z_SUPPORT
base_trim/basemetalsupport;BASEMETALSUPPOR
base_trim/black_lacquer;BLACK_LACQUER
base_trim/blues1_1;BLUES1_1
base_trim/border11;BORDER11
base_trim/border11b;BORDER11B
base_trim/border11c;BORDER11C
base_trim/border11c_light;BORDER11C_LIGHT
base_trim/border11c_pulse1b;BORDER11C_PULSE
base_trim/border11c_pulse1r;BORDER11C_PUL00
base_trim/border11light;BORDER11LIGHT00
base_trim/border12;BORDER12
base_trim/border12b;BORDER12B
base_trim/bridgesupport1e_fin;BRIDGESUPPORT1E
base_trim/bridgesupport1j_fin;BRIDGESUPPORT1J
base_trim/cautionstripes_01;CAUTIONSTRIPES_
base_trim/cautionstripes_03;CAUTIONSTRIPE00
base_trim/cautionstripes_04;CAUTIONSTRIPE01
base_trim/cautionstripes_05;CAUTIONSTRIPE02
base_trim/cautionstripes_07;CAUTIONSTRIPE03
base_trim/cautionstripes_trimmed_01;CAUTIONSTRIPE04
base_trim/cautionstripes_trimmed_02;CAUTIONSTRIPE05
base_trim/cautionstripes_trimmed_03;CAUTIONSTRIPE06
base_trim/chrome_border;CHROME_BORDER
base_trim/dark_tin2;DARK_TIN2
base_trim/dc_map02trim01;DC_MAP02TRIM01
base_trim/dc_map02trim02;DC_MAP02TRIM02
base_trim/deeprust;DEEPRUST
base_trim/dirty_pewter;DIRTY_PEWTER
base_trim/dirty_pewter_big;DIRTY_PEWTER_BI
base_trim/greenoct28;GREENOCT28
base_trim/holemech01_h;HOLEMECH01_H
base_trim/melty_pewter;MELTY_PEWTER
base_trim/metal_01_blue;METAL_01_BLUE
base_trim/metal_01_grilled_caution;METAL_01_GRIL01
base_trim/metal_01_grilled_step;METAL_01_GRIL02
base_trim/metal_01_red;METAL_01_RED
base_trim/metal_01_ribbed_trim_blue;METAL_01_RIBBED
base_trim/metal_01_ribbed_trim_red;METAL_01_RIBB00
base_trim/metal2_2;METAL2_2
base_trim/metalsupport2g_trim;METALSUPPORT2G_
base_trim/palmet12_3;PALMET12_3
base_trim/palmet12_3rept;PALMET12_3REPT
base_trim/panel_edged;PANEL_EDGED
base_trim/panel_glo;PANEL_GLO
base_trim/panel_shiny;PANEL_SHINY
base_trim/panel_xpass;PANEL_XPASS
base_trim/panel01;PANEL01
base_trim/panel02;PANEL02
base_trim/panel03;PANEL03
base_trim/panelbrn010w;PANELBRN010W
base_trim/panelbrn01scr;PANELBRN01SCR
base_trim/pewter;PEWTER
base_trim/pewter_gold;PEWTER_GOLD
base_trim/pewter_shiney;PEWTER_SHINEY
base_trim/pewter_spec;PEWTER_SPEC
base_trim/pewterstep;PEWTERSTEP
base_trim/pipe;PIPE
base_trim/proto_comp;PROTO_COMP
base_trim/proto_comp2;PROTO_COMP2
base_trim/proto_fence;PROTO_FENCE
base_trim/proto_fence;PROTO_FENCE00
base_trim/proto_fence_ow;PROTO_FENCE_OW
base_trim/red1_1;RED1_1
base_trim/rusty_pewter_big;RUSTY_PEWTER_BI
base_trim/rustytrim_nolights;RUSTYTRIM_NOLIG
base_trim/slots1_1;SLOTS1_1
base_trim/spiderbit;SPIDERBIT
base_trim/spiderbit_ow;SPIDERBIT_OW
base_trim/spiderbit2;SPIDERBIT2
base_trim/spiderbit3;SPIDERBIT3
base_trim/spiderbit4;SPIDERBIT4
base_trim/spiderbit6;SPIDERBIT6
base_trim/spiderbite;SPIDERBITE
base_trim/spidertrim;SPIDERTRIM
base_trim/spidertrim3;SPIDERTRIM3
base_trim/spidertrim4;SPIDERTRIM4
base_trim/techborder;TECHBORDER
base_trim/techborder_merge;TECHBORDER_MERG
base_trim/tin;TIN
base_trim/wire02_f1;WIRE02_F1
base_trim/wire02a_f;WIRE02A_F
base_trim/wires01;WIRES01
base_trim/wires01_ass;WIRES01_ASS
base_trim/wires02;WIRES02
base_trim/xborder11b;XBORDER11B
base_trim/xian_dm3padwall_x;XIAN_DM3PADWALL
base_trim/xian_dm3padwall_x2;XIAN_DM3PADWA00
base_trim/xian_dm3padwall_y;XIAN_DM3PADWA01
base_trim/xred1_2;XRED1_2
base_trim/xspiderbit4;XSPIDERBIT4
base_trim/yellow_rustb;YELLOW_RUSTB
base_trim/yellow_rustb_v1;YELLOW_RUSTB_V1
base_trim/yellow_rustbx128;YELLOW_RUSTBX12
base_trim/zebra;ZEBRA
base_wall/archpipe2_ifin;ARCHPIPE2_IFIN
base_wall/archpipe2_k_tall3fin;ARCHPIPE2_K_TAL
base_wall/atech1_a;ATECH1_A
base_wall/atech1_alpha;ATECH1_ALPHA
base_wall/atech1_b;ATECH1_B
base_wall/atech1_d;ATECH1_D
base_wall/atech1_e;ATECH1_E
base_wall/atech1_f;ATECH1_F
base_wall/atech1_f;ATECH1_F00
base_wall/atech2_c;ATECH2_C
base_wall/atech3_a;ATECH3_A
base_wall/atechengine_a;ATECHENGINE_A
base_wall/atechengine_ax;ATECHENGINE_AX
base_wall/basewall01;BASEWALL01
base_wall/basewall01_ow;BASEWALL01_OW
base_wall/basewall01bit;BASEWALL01BIT
base_wall/basewall02;BASEWALL02
base_wall/basewall03;BASEWALL03
base_wall/basewall04;BASEWALL04
base_wall/basewallbobbin;BASEWALLBOBBIN
base_wall/bluemet;BLUEMET
base_wall/bluemetal1b_shiny;BLUEMETAL1B_SHI
base_wall/bluemetal2;BLUEMETAL2
base_wall/bluemetal2_shiny;BLUEMETAL2_SHIN
base_wall/bluemetal3;BLUEMETAL3
base_wall/bluemetal3b;BLUEMETAL3B
base_wall/bluemetalsupport;BLUEMETALSUPPOR
base_wall/bluemetalsupport2;BLUEMETALSUPP00
base_wall/bluemetalsupport2b;BLUEMETALSUPP01
base_wall/bluemetalsupport2c;BLUEMETALSUPP02
base_wall/bluemetalsupport2c_1;BLUEMETALSUPP04
base_wall/bluemetalsupport2c_1vent;BLUEMETALSUPP05
base_wall/bluemetalsupport2clight;BLUEMETALSUPP03
base_wall/bluemetalsupport2d;BLUEMETALSUPP06
base_wall/bluemetalsupport2d_1;BLUEMETALSUPP07
base_wall/bluemetalsupport2e;BLUEMETALSUPP08
base_wall/bluemetalsupport2e_rusty;BLUEMETALSUPP12
base_wall/bluemetalsupport2e2;BLUEMETALSUPP09
base_wall/bluemetalsupport2eye;BLUEMETALSUPP10
base_wall/bluemetalsupport2eyel;BLUEMETALSUPP11
base_wall/bluemetalsupport2f;BLUEMETALSUPP13
base_wall/bluemetalsupport2fline;BLUEMETALSUPP14
base_wall/bluemetalsupport2ftv;BLUEMETALSUPP15
base_wall/blumtlspt2b;BLUMTLSPT2B
base_wall/c_met5_2;C_MET5_2
base_wall/c_met7_2;C_MET7_2
base_wall/chrome_env;CHROME_ENV
base_wall/chrome_env2;CHROME_ENV2
base_wall/chrome_metal;CHROME_METAL
base_wall/cobalt_1;COBALT_1
base_wall/cobalt_2;COBALT_2
base_wall/cobalt_3;COBALT_3
base_wall/cobalt_4;COBALT_4
base_wall/cobalt_bottom;COBALT_BOTTOM
base_wall/cobalt_gray;COBALT_GRAY
base_wall/cobalt_gray_dirty;COBALT_GRAY_DIR
base_wall/cobalt_gray_doom;COBALT_GRAY_DOO
base_wall/cobalt_red;COBALT_RED
base_wall/cobalt_scratch;COBALT_SCRATCH
base_wall/cobalt_scratch2;COBALT_SCRATCH2
base_wall/cobalt_shiny;COBALT_SHINY
base_wall/cobaltborder_orange;COBALTBORDER_OR
base_wall/cobaltborder_orange_backup;COBALTBORDER_00
base_wall/cobaltborder_shiny;COBALTBORDER_SH
base_wall/comp3;COMP3
base_wall/comp3_qer;COMP3_QER
base_wall/comp3b;COMP3B
base_wall/comp3b_qer;COMP3B_QER
base_wall/comp3c;COMP3C
base_wall/comp3c_qer;COMP3C_QER
base_wall/comp3env;COMP3ENV
base_wall/comp3frame;COMP3FRAME
base_wall/comp3text;COMP3TEXT
base_wall/comp3textb;COMP3TEXTB
base_wall/comp3textd;COMP3TEXTD
base_wall/concrete;CONCRETE00
base_wall/concrete_dark;CONCRETE_DARK
base_wall/concrete_dark2;CONCRETE_DARK2
base_wall/concrete_darktrim;CONCRETE_DARKTR
base_wall/concrete_darktrim_blue;CONCRETE_DARK00
base_wall/concrete_darktrim_blue_2;CONCRETE_DARK01
base_wall/concrete_darktrim_neutral;CONCRETE_DARK02
base_wall/concrete_darktrim_red;CONCRETE_DARK03
base_wall/concrete_darktrim_red_2;CONCRETE_DARK04
base_wall/concrete_darktrim_tall;CONCRETE_DARK05
base_wall/concrete_ow;CONCRETE_OW
base_wall/concrete_ow2;CONCRETE_OW2
base_wall/concrete1;CONCRETE1
base_wall/concrete1_paint;CONCRETE1_PAINT
base_wall/concrete2;CONCRETE2
base_wall/concreteb2;CONCRETEB2
base_wall/concretepipe01;CONCRETEPIPE01
base_wall/dooreye;DOOREYE
base_wall/dooreye2;DOOREYE2
base_wall/dooreye3;DOOREYE3
base_wall/dooreyelight;DOOREYELIGHT
base_wall/girders1i_128_yellofin;GIRDERS1I_128_Y
base_wall/girders1i_yellodark_fin;GIRDERS1I_YELLO
base_wall/glass_frame;GLASS_FRAME
base_wall/greenmet2b;GREENMET2B
base_wall/grill;GRILL
base_wall/jk_metalsupport01;JK_METALSUPPORT
base_wall/main_q3abanner;MAIN_Q3ABANNER
base_wall/medal_accuracy;MEDAL_ACCURACY
base_wall/medal_excellent;MEDAL_EXCELLENT
base_wall/medal_frags;MEDAL_FRAGS
base_wall/medal_gauntlet;MEDAL_GAUNTLET
base_wall/medal_impressive;MEDAL_IMPRESSIV
base_wall/medal_victory;MEDAL_VICTORY
base_wall/metal_bordered;METAL_BORDERED
base_wall/metal_borderedends;METAL_BORDEREDE
base_wall/metal_darktone;METAL_DARKTONE
base_wall/metal_darktone_bordered;METAL_DARKTONE_
base_wall/metal_lighttone;METAL_LIGHTTONE
base_wall/metal_pipegrooved;METAL_PIPEGROOV
base_wall/metal_ribbed_01;METAL_RIBBED_01
base_wall/metal_ribbed_02;METAL_RIBBED_02
base_wall/metal_twotone;METAL_TWOTONE
base_wall/metal_vertstripe_btm;METAL_VERTSTRIP
base_wall/metal_vertstripe_mid;METAL_VERTSTR00
base_wall/metal_vertstripe_top;METAL_VERTSTR01
base_wall/metalblack03;METALBLACK03
base_wall/metalblackbloody;METALBLACKBLOOD
base_wall/metalfloor_wall_10;METALFLOOR_WALL
base_wall/metalfloor_wall_11;METALFLOOR_WA00
base_wall/metalfloor_wall_12;METALFLOOR_WA01
base_wall/metalfloor_wall_14;METALFLOOR_WA02
base_wall/metalfloor_wall_14_specular;METALFLOOR_WA03
base_wall/metalfloor_wall_15;METALFLOOR_WA04
base_wall/metalfloor_wall_15ow;METALFLOOR_WA05
base_wall/metalfloor_wall_3;METALFLOOR_WA06
base_wall/metalfloor_wall_cobalt_specular;METALFLOOR_WA07
base_wall/metalfloor_wall_cobalt_specular_red;METALFLOOR_WA08
base_wall/metaltech04final;METALTECH04FINA
base_wall/metaltech06final;METALTECH06FINA
base_wall/metaltech08final;METALTECH08FINA
base_wall/metaltech10final;METALTECH10FINA
base_wall/metaltech12dark_support;METALTECH12DA00
base_wall/metaltech12darkfinal;METALTECH12DARK
base_wall/metaltech12final;METALTECH12FINA
base_wall/metaltech13final;METALTECH13FINA
base_wall/metaltech17final;METALTECH17FINA
base_wall/metaltechgeomtrn;METALTECHGEOMTR
base_wall/metaltechgeomtrn2;METALTECHGEOM00
base_wall/metfloor_block_3;METFLOOR_BLOCK_
base_wall/patch10;PATCH10
base_wall/patch10_beatup2;PATCH10_BEATUP2
base_wall/patch10_beatup3;PATCH10_BEATUP3
base_wall/patch10_beatup4;PATCH10_BEATUP4
base_wall/patch10_beatup4_alpha;PATCH10_BEATU00
base_wall/patch10rusty5;PATCH10RUSTY5
base_wall/patch12;PATCH12
base_wall/protobanner;PROTOBANNER
base_wall/protobanner_ow;PROTOBANNER_OW
base_wall/q3tourney1;Q3TOURNEY1
base_wall/q3tourney2;Q3TOURNEY2
base_wall/q3tourney3;Q3TOURNEY3
base_wall/q3tourney4;Q3TOURNEY4
base_wall/q3tourney5;Q3TOURNEY5
base_wall/redmet;REDMET
base_wall/redmet4small;REDMET4SMALL
base_wall/redpad;REDPAD
base_wall/redpadhalf;REDPADHALF
base_wall/rusted;RUSTED
base_wall/rusted3;RUSTED3
base_wall/shiny3;SHINY3
base_wall/shinybluemetal1;SHINYBLUEMETAL1
base_wall/shinygrate1_4;SHINYGRATE1_4
base_wall/steed1ge;STEED1GE
base_wall/steed1gf;STEED1GF
base_wall/steed2f;STEED2F
base_wall/symbol_ball;SYMBOL_BALL
base_wall/symbol_bluelt1;SYMBOL_BLUELT1
base_wall/symbol_bluelt1_mask;SYMBOL_BLUELT1_
base_wall/symbol_yellowlt1;SYMBOL_YELLOWLT
base_wall/techwall_01;TECHWALL_01
base_wall/techwall_02;TECHWALL_02
base_wall/train1;TRAIN1
base_wall/x_concreteborder;X_CONCRETEBORDE
base_wall/x_concretelong;X_CONCRETELONG
base_wall/x_invertconcrete;X_INVERTCONCRET
base_wall/x_invertconcrete_wall_AciD;X_INVERTCONCR00
base_wall/xbasewall04;XBASEWALL04
base_wall/xian_q3dm12_leftwall4fin;XIAN_Q3DM12_LEF
base_wall2/blue_arrow_small;BLUE_ARROW_SMAL
base_wall2/blue_circle;BLUE_CIRCLE
base_wall2/blue_line;BLUE_LINE
base_wall2/blue_metal;BLUE_METAL
base_wall2/blue_solid;BLUE_SOLID
base_wall2/bluearrows;BLUEARROWS
base_wall2/bluejet_1_kc;BLUEJET_1_KC
base_wall2/bluejet_2_kc;BLUEJET_2_KC
base_wall2/bluejet_3_kc;BLUEJET_3_KC
base_wall2/diamond_ctf_red;DIAMOND_CTF_RED
base_wall2/double_line_blue;DOUBLE_LINE_BLU
base_wall2/double_line_red;DOUBLE_LINE_RED
base_wall2/jumppad_blue_kc;JUMPPAD_BLUE_KC
base_wall2/jumppad_red_kc;JUMPPAD_RED_KC
base_wall2/jumppad_shadow;JUMPPAD_SHADOW
base_wall2/lensflare;LENSFLARE
base_wall2/name_vortex;NAME_VORTEX
base_wall2/ntrl_1_kc;NTRL_1_KC
base_wall2/ntrl_2_kc;NTRL_2_KC
base_wall2/ntrl_3_kc;NTRL_3_KC
base_wall2/red_arrow_small;RED_ARROW_SMALL
base_wall2/red_circle;RED_CIRCLE
base_wall2/red_line;RED_LINE
base_wall2/red_metal;RED_METAL
base_wall2/red_solid;RED_SOLID
base_wall2/redarrows;REDARROWS
base_wall2/redjet_1_kc;REDJET_1_KC
base_wall2/redjet_2_kc;REDJET_2_KC
base_wall2/redjet_3_kc;REDJET_3_KC
base_wall2/scuffs1;SCUFFS1
base_wall2/space_panel_alt;SPACE_PANEL_ALT
base_wall2/space_panel_alt2;SPACE_PANEL_A00
base_wall2/space_wall3;SPACE_WALL3
base_wall2/techfloor_kc;TECHFLOOR_KC
base_wall2/techfloor_kc_shadow;TECHFLOOR_KC_SH
base_wall2/techfloor2_kc;TECHFLOOR2_KC
base_wall2/xbasewall03;XBASEWALL03
base_wall2/zzztblue_kc;ZZZTBLUE_KC
base_wall2/zzztntrl_kc;ZZZTNTRL_KC
base_wall2/zzztred_kc;ZZZTRED_KC
bastir/128-10a;128-10A
bastir/128-11a;128-11A
bastir/128-11ax;128-11AX
bastir/128-11ax5;128-11AX5
bastir/128-12a;128-12A
bastir/128-12b;128-12B
bastir/block15a2;BLOCK15A2
bastir/block15a3;BLOCK15A3
bastir/block19a2;BLOCK19A2
bastir/earth;EARTH
bastir/grill_wall03;GRILL_WALL03
bastir/hgrill_wall03a0;HGRILL_WALL03A0
bastir/jumppadsmall_b;JUMPPADSMALL_B
bastir/jumppadsmall_r;JUMPPADSMALL_R
bastir/rock;ROCK
